CustomerID,churn_probability,churn_risk_label,churned
10000,0.0003506595,Low,0
10001,0.00089483475,Low,0
10002,0.00021274775,Low,0
10003,0.00021941819,Low,0
10004,0.00012965135,Low,0
10005,0.017939795,Low,0
10006,0.006945742,Low,0
10007,0.0004590116,Low,0
10008,0.0005177887,Low,0
10009,0.0026296135,Low,0
10010,0.00040469575,Low,0
10011,0.0015112257,Low,0
10012,0.0015539452,Low,0
10013,0.016483389,Low,0
10014,0.017886803,Low,0
10015,0.032534093,Low,0
10016,0.00021794513,Low,0
10017,0.00025048177,Low,0
10018,0.0006954501,Low,0
10019,0.057984054,Low,0
10020,0.0007137596,Low,0
10021,0.0077225226,Low,1
10022,0.00069781893,Low,0
10023,0.053487275,Low,0
10024,0.00026024622,Low,0
10025,8.726318e-05,Low,0
10026,0.0007192557,Low,0
10027,0.0004350079,Low,0
10028,0.0014739612,Low,0
10029,0.0006448627,Low,0
10030,0.0017141453,Low,0
10031,0.0023288168,Low,0
10032,0.02352733,Low,0
10033,0.01782822,Low,0
10034,0.0023675496,Low,0
10035,0.00019628425,Low,0
10036,0.99714845,High,1
10037,0.0004844488,Low,0
10038,0.0022244714,Low,0
10039,0.00032116118,Low,0
10040,0.00015094691,Low,0
10041,0.00088301516,Low,0
10042,0.00021383759,Low,0
10043,0.0009217049,Low,0
10044,0.00011346298,Low,0
10045,0.0008261604,Low,0
10046,0.00056331203,Low,0
10047,0.00016572024,Low,0
10048,0.025141615,Low,0
10049,0.002975972,Low,0
10050,0.00012302966,Low,0
10051,0.0003280284,Low,0
10052,0.0034918843,Low,0
10053,0.00272961,Low,0
10054,6.843057e-05,Low,0
10055,0.013786862,Low,0
10056,0.00020593632,Low,0
10057,0.0011722009,Low,0
10058,0.0025881417,Low,0
10059,0.004824831,Low,0
10060,0.7466737,High,0
10061,0.001269908,Low,0
10062,7.6069904e-05,Low,0
10063,0.0021773425,Low,0
10064,0.0021276646,Low,0
10065,0.0002598778,Low,0
10066,6.352237e-05,Low,0
10067,0.0012781152,Low,0
10068,0.00082665094,Low,0
10069,0.00010555562,Low,0
10070,0.00011491803,Low,0
10071,0.0009721558,Low,0
10072,0.0028336786,Low,0
10073,0.0009521713,Low,0
10074,0.0017764937,Low,0
10075,0.00025997788,Low,0
10076,0.0003332632,Low,0
10077,0.00014944558,Low,0
